Date,Open,High,Low,Close,Adj Close,Volume
2018-05-17,211.119995,212.520004,210.020004,211.009995,208.053772,1364300
2018-05-18,211.500000,215.470001,211.220001,214.940002,211.928741,1072800
2018-05-21,215.740005,217.130005,214.940002,216.729996,213.693680,894400
2018-05-22,217.880005,219.050003,217.500000,217.860001,214.807785,1587200
2018-05-23,217.000000,218.770004,215.699997,216.520004,213.486603,1446900
2018-05-24,217.139999,218.869995,215.820007,215.970001,212.944336,955000
2018-05-25,215.830002,216.380005,212.589996,213.649994,210.656815,929200
2018-05-29,211.479996,212.649994,207.100006,208.970001,206.042419,1854100
2018-05-30,210.339996,212.000000,209.710007,210.949997,207.994705,1189500
2018-05-31,210.949997,211.169998,208.029999,208.270004,205.352219,1659400
2018-06-01,210.000000,211.979996,209.610001,211.830002,208.862320,833800
2018-06-04,212.000000,214.800003,212.000000,214.169998,211.169525,1554200
2018-06-05,213.830002,215.979996,213.740005,214.770004,211.761124,1096500
2018-06-06,215.220001,218.289993,214.330002,218.270004,215.212128,1204200
2018-06-07,218.270004,218.960007,215.580002,216.460007,213.427460,1053400
2018-06-08,216.750000,217.880005,216.039993,217.020004,213.979614,1087400
2018-06-11,217.630005,218.300003,216.460007,217.339996,214.295090,1154800
2018-06-12,217.460007,218.460007,216.779999,217.949997,214.896576,1247300
2018-06-13,218.529999,218.690002,216.220001,216.350006,213.319031,1214000
2018-06-14,216.779999,217.000000,215.179993,216.550003,213.684097,1001600
2018-06-15,216.250000,216.580002,213.860001,215.800003,212.944031,2190000
2018-06-18,213.720001,213.720001,211.580002,212.820007,210.003464,1363000
2018-06-19,210.860001,211.649994,208.210007,209.929993,207.151733,1381400
2018-06-20,210.000000,210.500000,208.330002,208.800003,206.036697,928000
2018-06-21,209.000000,209.229996,205.800003,206.539993,203.806580,1212700
